code,code_name
151,Other liver diseases
6,Hepatitis
127,Chronic obstructive pulmonary disease and bronchiectasis
657,Mood disorders
651,Anxiety disorders
663,Screening and history of mental health and substance abuse codes
62,Coagulation and hemorrhagic disorders
55,Fluid and electrolyte disorders
5,HIV infection
131,Respiratory failure; insufficiency; arrest (adult)
155,Other gastrointestinal disorders
238,Complications of surgical procedures or medical care
52,Nutritional deficiencies
259,Residual codes; unclassified
660,Alcohol-related disorders
653,"""Delirium"
89,Blindness and vision defects
211,Other connective tissue disease
53,Disorders of lipid metabolism
29,Cancer of prostate
79,Parkinson`s disease
137,Diseases of mouth; excluding dental
136,Disorders of teeth and jaw
117,Other circulatory disease
141,Other disorders of stomach and duodenum
138,Esophageal disorders
143,Abdominal hernia
96,Heart valve disorders
206,Osteoporosis
226,Fracture of neck of femur (hip)
2603,E Codes: Fall
2620,E Codes: Unspecified
2621,E Codes: Place of occurrence
84,Headache; including migraine
160,Calculus of urinary tract
257,Other aftercare
239,Superficial injury; contusion
59,Deficiency and other anemia
197,Skin and subcutaneous tissue infections
33,Cancer of kidney and renal pelvis
1,Tuberculosis
106,Cardiac dysrhythmias
49,Diabetes mellitus without complication
98,Essential hypertension
193,OB-related trauma to perineum and vulva
195,Other complications of birth; puerperium affecting management of mother
181,Other complications of pregnancy
196,Other pregnancy and delivery including normal
10,Immunizations and screening for infectious disease
228,Skull and face fractures
100,Acute myocardial infarction
157,Acute and unspecified renal failure
245,Syncope
134,Other upper respiratory disease
101,Coronary atherosclerosis and other heart disease
63,Diseases of white blood cells
244,Other injuries and conditions due to external causes
114,Peripheral and visceral atherosclerosis
122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
159,Urinary tract infections
130,Pleurisy; pneumothorax; pulmonary collapse
2,Septicemia (except in labor)
205,Spondylosis; intervertebral disc disorders; other back problems
95,Other nervous system disorders
650,Adjustment disorders
124,Acute and chronic tonsillitis
250,Nausea and vomiting
133,Other lower respiratory disease
246,Fever of unknown origin
203,Osteoarthritis
2616,E Codes: Adverse effects of medical care
42,Secondary malignancies
14,Cancer of colon
153,Gastrointestinal hemorrhage
163,Genitourinary symptoms and ill-defined conditions
58,Other nutritional; endocrine; and metabolic disorders
43,Malignant neoplasm without specification of site
251,Abdominal pain
41,Cancer; other and unspecified primary
145,Intestinal obstruction without hernia
19,Cancer of bronchus; lung
99,Hypertension with complications and secondary hypertension
108,Congestive heart failure; nonhypertensive
