code,code_name
88,"Abdominal paracentesis"""
227,"Other diagnostic procedures"""
146,"Treatment; fracture or dislocation of hip and femur"""
104,"Nephrectomy; partial or complete"""
49,Other OR heart procedures
62,"Other diagnostic cardiovascular procedures"""
140,"Repair of current obstetric laceration"""
83,"Biopsy of liver"""
75,"Small bowel resection"""
90,"Excision; lysis peritoneal adhesions"""
70,"Upper gastrointestinal endoscopy; biopsy"""
45,Percutaneous transluminal coronary angioplasty (PTCA)
63,"Other non-OR therapeutic cardiovascular procedures"""
61,"Other OR procedures on vessels other than head and neck"""
47,Diagnostic cardiac catheterization; coronary arteriography
9,"Other OR therapeutic nervous system procedures"""
172,"Skin graft"""
1,"Incision and excision of CNS"""
4,"Diagnostic spinal tap"""
54,Other vascular catheterization; not heart
137,"Other procedures to assist delivery"""
78,"Colorectal resection"""
76,"Colonoscopy and biopsy"""
112,"Other OR therapeutic procedures of urinary tract"""
67,"Other therapeutic procedures; hemic and lymphatic system"""
124,"Hysterectomy; abdominal and vaginal"""
125,"Other excision of cervix and uterus"""
119,"Oophorectomy; unilateral and bilateral"""
132,"Other OR therapeutic procedures; female organs"""
231,"Other therapeutic procedures"""
223,"Enteral and parenteral nutrition"""
110,"Other diagnostic procedures of urinary tract"""
100,"Endoscopy and endoscopic biopsy of the urinary tract"""
102,"Ureteral catheterization"""
97,"Other gastrointestinal diagnostic procedures"""
98,"Other non-OR gastrointestinal therapeutic procedures"""
187,"Intravenous pyelogram"""
129,"Repair of cystocele and rectocele; obliteration of vaginal vault"""
216,"Respiratory intubation and mechanical ventilation"""
50,Extracorporeal circulation auxiliary to open heart procedures
225,"Conversion of cardiac rhythm"""
48,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator
108,"Indwelling catheter"""
175,"Other OR therapeutic procedures on skin and breast"""
44,"Coronary artery bypass graft (CABG)"""
157,"Amputation of lower extremity"""
142,"Partial excision bone"""
160,"Other therapeutic procedures on muscles and tendons"""
6,"Decompression peripheral nerve"""
39,"Incision of pleura; thoracentesis; chest drainage"""
224,"Cancer chemotherapy"""
199,"Electroencephalogram (EEG)"""
94,"Other OR upper GI therapeutic procedures"""
86,"Other hernia repair"""
152,"Arthroplasty knee"""
156,"Injections and aspirations of muscles; tendons; bursa; joints and soft tissue"""
174,"Other non-OR therapeutic procedures on skin and breast"""
158,"Spinal fusion"""
